Model,Train Accuracy,Test Accuracy,Accuracy,Precision,Recall,F1,ROC,Cross Validation,Difference,Status
Random Forest,0.9944478464992855,0.8636512083605487,0.8636512083605487,0.7564102564102564,0.70282131661442,0.7286317842053949,0.9259783865870314,0.8668707899571342,0.13079663813873688,Overfitting
Extra Trees,0.9944478464992855,0.8595689092096669,0.8595689092096669,0.7488151658767772,0.6934169278996866,0.7200520833333334,0.9073043036481719,0.85617472953664,0.13487893728961864,Overfitting
Gradient Boosting,0.8647887323943662,0.8592423252775964,0.8592423252775964,0.753984753984754,0.6821316614420063,0.7162606978275181,0.9251379649503617,0.8626658501735049,0.0055464071167697915,Good Fit
Bagging,0.98595631761584,0.8541802743305029,0.8541802743305029,0.7378048780487805,0.6827586206896552,0.7092152393357213,0.9095529956373105,0.8572769953051644,0.1317760432853371,Overfitting
MLP,0.8701367626046131,0.8496080992815154,0.8496080992815154,0.7202614379084967,0.6909090909090909,0.70528,0.9153521956378642,0.8526638089406001,0.020528663323097773,Good Fit
Decision Tree,0.9944478464992855,0.8329523187459177,0.8329523187459177,0.6771995043370508,0.6852664576802507,0.6812090994079152,0.7864793310404353,0.8307001428863033,0.16149552775336784,Overfitting
KNN,0.8832823025107165,0.831319399085565,0.831319399085565,0.6856010568031704,0.6507836990595611,0.6677388227725957,0.8767975242792703,0.8309450908348642,0.05196290342515153,Slight Overfit
AdaBoost,0.8282098387426006,0.8205421293272371,0.8205421293272371,0.6971383147853736,0.5498432601880878,0.6147914475990186,0.8769023866396355,0.8285772606654419,0.007667709415363433,Good Fit
Logistic Regression,0.8102469891814656,0.8096015676028739,0.8096015676028739,0.6819338422391857,0.5040752351097179,0.5796683489545782,0.8531130969973373,0.8096754439681568,0.0006454215785917095,Good Fit
Naive Bayes,0.45364360073484383,0.45901371652514694,0.45901371652514694,0.3239754098360656,0.9912225705329154,0.48833976833976833,0.7958864883983467,0.4539293733414983,-0.005370115790303109,Good Fit
