Model,Train Accuracy,Test Accuracy,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cross Validation,Difference,Status
Random Forest,0.9984486629924474,0.9031678641410843,0.9031678641410843,0.844566712517194,0.7699059561128526,0.8055100032797639,0.9506279628808009,0.8984282506634008,0.09528079885136309,Slight Overfit
Extra Trees,0.9984486629924474,0.8928804702808621,0.8928804702808621,0.832271762208068,0.7373040752351098,0.7819148936170213,0.9442417413104404,0.8905899163094511,0.10556819271158524,Overfitting
Gradient Boosting,0.8966727903653807,0.8920640104506858,0.8920640104506858,0.8265734265734266,0.7410658307210032,0.7814876033057852,0.9473469822827603,0.8932435190855277,0.004608779914694883,Good Fit
Bagging,0.991304347826087,0.8909209666884389,0.8909209666884389,0.8138117806364252,0.7536050156739812,0.7825520833333334,0.9319691766954998,0.8899775464380486,0.10038338113764811,Overfitting
MLP,0.927372933251684,0.8817766165904638,0.8817766165904638,0.768,0.7824451410658307,0.7751552795031056,0.9406335763048442,0.87454582567871,0.045596316661220215,Good Fit
Decision Tree,0.9984486629924474,0.8567929457870673,0.8567929457870673,0.7224287484510533,0.7310344827586207,0.7267061389841072,0.8172006802556289,0.8589508062869973,0.14165571720538006,Overfitting
KNN,0.8983466013472137,0.8443827563683867,0.8443827563683867,0.7084415584415584,0.684012539184953,0.6960127591706539,0.8827386172426944,0.8437232088181261,0.053963844978827,Slight Overfit
AdaBoost,0.8432741375790977,0.8388308295231874,0.8388308295231874,0.7439807383627608,0.5811912225705329,0.6525871172122492,0.8980072690726637,0.8418044498877322,0.004443308055910311,Good Fit
Logistic Regression,0.8314758113900796,0.8306662312214239,0.8306662312214239,0.7159442724458205,0.5799373040752351,0.6408036023553862,0.8891265692150412,0.8311083894672382,0.0008095801686557325,Good Fit
Naive Bayes,0.4947948560930802,0.5004898758981058,0.5004898758981058,0.3397548161120841,0.9730407523510972,0.5036508194061334,0.8223583164157698,0.49573382322923043,-0.00569501980502557,Good Fit
